"filename", "language", "JavaScript", "HTML", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\index.js", "JavaScript", -105, 0, 0, 0, -7, -19, -131
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\middleware.js", "JavaScript", -42, 0, 0, 0, 0, -7, -49
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\models\band.js", "JavaScript", -39, 0, 0, 0, 0, -3, -42
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\models\live.js", "JavaScript", -28, 0, 0, 0, 0, -3, -31
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\models\song.js", "JavaScript", -46, 0, 0, 0, 0, -1, -47
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\models\user.js", "JavaScript", -37, 0, 0, 0, 0, -5, -42
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\package-lock.json", "JSON", 0, 0, -1902, 0, 0, -1, -1903
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\package.json", "JSON", 0, 0, -37, 0, 0, -1, -38
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\admin\bandShow.js", "JavaScript", -20, 0, 0, 0, 0, -2, -22
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\admin\liveManagement.js", "JavaScript", -11, 0, 0, 0, 0, -1, -12
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\admin\liveShow.js", "JavaScript", -51, 0, 0, 0, -1, -3, -55
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\admin\userManagement.js", "JavaScript", -13, 0, 0, 0, 0, -1, -14
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\editBand.js", "JavaScript", -63, 0, 0, 0, -1, -5, -69
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\live.js", "JavaScript", -40, 0, 0, 0, -9, -2, -51
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\liveIndex.js", "JavaScript", -5, 0, 0, 0, 0, -2, -7
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\mypage\showLive.js", "JavaScript", -64, 0, 0, 0, 0, -2, -66
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\newBand.js", "JavaScript", -103, 0, 0, 0, -2, -8, -113
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\newUserForm.js", "JavaScript", -41, 0, 0, 0, 0, 0, -41
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\spotify-web-api-js\spotify-web-api.js", "JavaScript", -955, 0, 0, 0, -1021, -114, -2090
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\validateForms.js", "JavaScript", -24, 0, 0, 0, 0, 0, -24
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\stylesheets\adminIndex.css", "CSS", 0, 0, 0, -8, 0, -1, -9
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\stylesheets\boiler.css", "CSS", 0, 0, 0, -9, 0, -2, -11
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\stylesheets\editPaTable.css", "CSS", 0, 0, 0, -12, 0, -3, -15
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\stylesheets\google.css", "CSS", 0, 0, 0, -89, 0, -10, -99
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\stylesheets\line.css", "CSS", 0, 0, 0, -11, -3, -3, -17
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\stylesheets\live.css", "CSS", 0, 0, 0, -28, 0, -7, -35
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\stylesheets\liveIndex.css", "CSS", 0, 0, 0, 0, 0, -1, -1
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\stylesheets\mypage\index.css", "CSS", 0, 0, 0, -6, 0, 0, -6
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\stylesheets\newLive.css", "CSS", 0, 0, 0, -3, 0, 0, -3
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\stylesheets\newPaTable.css", "CSS", 0, 0, 0, -24, 0, -5, -29
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\stylesheets\paTable.css", "CSS", 0, 0, 0, -3, 0, 0, -3
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\routes\admin.js", "JavaScript", -23, 0, 0, 0, 0, -8, -31
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\routes\auth.js", "JavaScript", -15, 0, 0, 0, -8, -8, -31
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\routes\home.js", "JavaScript", -6, 0, 0, 0, 0, -2, -8
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\routes\lives.js", "JavaScript", -28, 0, 0, 0, 0, -9, -37
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\routes\myPage.js", "JavaScript", -10, 0, 0, 0, 0, -2, -12
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\seeds\index.js", "JavaScript", -27, 0, 0, 0, 0, -4, -31
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\utils\ExpressError.js", "JavaScript", -8, 0, 0, 0, 0, -1, -9
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\utils\catchAsync.js", "JavaScript", -5, 0, 0, 0, 0, 0, -5
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\utils\spotify_credentials.js", "JavaScript", -27, 0, 0, 0, 0, -7, -34
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\utils\tempCodeRunnerFile.js", "JavaScript", -1, 0, 0, 0, 0, 0, -1
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\admin\bandShow.ejs", "HTML", 0, -20, 0, 0, 0, 0, -20
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\admin\index.ejs", "HTML", 0, -44, 0, 0, 0, -1, -45
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\admin\liveIndex.ejs", "HTML", 0, -26, 0, 0, 0, -1, -27
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\admin\liveManagement.ejs", "HTML", 0, -30, 0, 0, 0, 0, -30
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\admin\liveShow.ejs", "HTML", 0, -52, 0, 0, 0, -2, -54
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\admin\playlistShow.ejs", "HTML", 0, -42, 0, 0, 0, -4, -46
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\admin\userManagement.ejs", "HTML", 0, -23, 0, 0, 0, 0, -23
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\auth\login.ejs", "HTML", 0, -27, 0, 0, -39, 0, -66
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\auth\new.ejs", "HTML", 0, -39, 0, 0, -29, 0, -68
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\bands\edit.ejs", "HTML", 0, -73, 0, 0, 0, -1, -74
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\bands\new.ejs", "HTML", 0, -90, 0, 0, 0, -3, -93
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\bands\show.ejs", "HTML", 0, -7, 0, 0, 0, -1, -8
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\errors\error.ejs", "HTML", 0, -2, 0, 0, 0, 0, -2
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\errors\notFound.ejs", "HTML", 0, -2, 0, 0, 0, 0, -2
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\home\index.ejs", "HTML", 0, -20, 0, 0, 0, -2, -22
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\layouts\boilerplate.ejs", "HTML", 0, -28, 0, 0, 0, -1, -29
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\lives\edit.ejs", "HTML", 0, -46, 0, 0, 0, -2, -48
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\lives\index.ejs", "HTML", 0, -24, 0, 0, 0, -1, -25
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\lives\new.ejs", "HTML", 0, -45, 0, 0, 0, -2, -47
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\lives\show.ejs", "HTML", 0, -34, 0, 0, 0, -3, -37
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\lives\show_admin.ejs", "HTML", 0, -58, 0, 0, 0, -4, -62
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\myPage\index.ejs", "HTML", 0, -74, 0, 0, 0, -5, -79
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\partials\editBandForm\song.ejs", "HTML", 0, -39, 0, 0, 0, 0, -39
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\partials\editBandForm\songs.ejs", "HTML", 0, -14, 0, 0, 0, -1, -15
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\partials\flash.ejs", "HTML", 0, -11, 0, 0, 0, -1, -12
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\partials\navbar.ejs", "HTML", 0, -37, 0, 0, 0, -1, -38
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\partials\newBandForm\song.ejs", "HTML", 0, -39, 0, 0, 0, 0, -39
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\partials\newBandForm\songs.ejs", "HTML", 0, -14, 0, 0, 0, -1, -15
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\partials\showBand\paTable.ejs", "HTML", 0, -44, 0, 0, 0, -1, -45
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\views\partials\showBand\paTableSong.ejs", "HTML", 0, -66, 0, 0, 0, 0, -66
"Total", "-", -1837, -1070, -1939, -193, -1120, -291, -6450