"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\admin\bandShow.js", "JavaScript", 0, 20, 0, 2, 22
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\admin\liveManagement.js", "JavaScript", 0, 11, 0, 1, 12
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\admin\liveShow.js", "JavaScript", 0, 51, 1, 3, 55
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\admin\userManagement.js", "JavaScript", 0, 13, 0, 1, 14
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\editBand.js", "JavaScript", 0, 63, 1, 5, 69
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\live.js", "JavaScript", 0, 40, 9, 2, 51
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\liveIndex.js", "JavaScript", 0, 5, 0, 2, 7
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\mypage\showLive.js", "JavaScript", 0, 64, 0, 2, 66
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\newBand.js", "JavaScript", 0, 103, 2, 8, 113
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\newUserForm.js", "JavaScript", 0, 41, 0, 0, 41
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\spotify-web-api-js\spotify-web-api.js", "JavaScript", 0, 955, 1021, 114, 2090
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\javascript\validateForms.js", "JavaScript", 0, 24, 0, 0, 24
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\stylesheets\adminIndex.css", "CSS", 8, 0, 0, 1, 9
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\stylesheets\boiler.css", "CSS", 9, 0, 0, 2, 11
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\stylesheets\editPaTable.css", "CSS", 12, 0, 0, 3, 15
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\stylesheets\google.css", "CSS", 89, 0, 0, 10, 99
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\stylesheets\line.css", "CSS", 11, 0, 3, 3, 17
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\stylesheets\live.css", "CSS", 28, 0, 0, 7, 35
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\stylesheets\liveIndex.css", "CSS", 0, 0, 0, 1, 1
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\stylesheets\mypage\index.css", "CSS", 6, 0, 0, 0, 6
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\stylesheets\newLive.css", "CSS", 3, 0, 0, 0, 3
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\stylesheets\newPaTable.css", "CSS", 24, 0, 0, 5, 29
"c:\Users\susuk\Documents\program\24_04_27bzb-pa-tool\public\stylesheets\paTable.css", "CSS", 3, 0, 0, 0, 3
"Total", "-", 193, 1390, 1037, 172, 2792